rep,res_x,res_y,scale,global_block_x,global_block_y,runtime
0,1000,1000,0.5,6,16,345841.0
1,1000,1000,0.5,6,16,3718.0
2,1000,1000,0.5,6,16,3662.0
3,1000,1000,0.5,6,16,3640.0
4,1000,1000,0.5,6,16,3649.0
0,2000,2000,0.5,6,16,328438.0
1,2000,2000,0.5,6,16,6826.0
2,2000,2000,0.5,6,16,6736.0
3,2000,2000,0.5,6,16,6806.0
4,2000,2000,0.5,6,16,6610.0
0,4000,4000,0.5,6,16,357412.0
1,4000,4000,0.5,6,16,18152.0
2,4000,4000,0.5,6,16,18031.0
3,4000,4000,0.5,6,16,18030.0
4,4000,4000,0.5,6,16,18005.0
0,8000,8000,0.5,6,16,478257.0
1,8000,8000,0.5,6,16,63080.0
2,8000,8000,0.5,6,16,62615.0
3,8000,8000,0.5,6,16,63039.0
4,8000,8000,0.5,6,16,62636.0
0,16000,16000,0.5,6,16,928471.0
1,16000,16000,0.5,6,16,267728.0
2,16000,16000,0.5,6,16,227206.0
3,16000,16000,0.5,6,16,228307.0
4,16000,16000,0.5,6,16,227072.0
